--a, --b, P@k (Rocchio), R@k (Rocchio), A@k (Rocchio)
0.30000000000000004, 0.75, 0.10857142857142857, 0.22399825701654957, 0.006235076765130953
0.30000000000000004, 0.8, 0.10857142857142855, 0.2265072031787465, 0.006167419916156926
0.30000000000000004, 0.8500000000000001, 0.10714285714285714, 0.2239098005813439, 0.0061079024382797
0.30000000000000004, 0.9, 0.11142857142857142, 0.23920561587715922, 0.006287345267973613
0.30000000000000004, 0.9500000000000001, 0.10999999999999999, 0.23603101270255605, 0.006227067992506464
0.30000000000000004, 1.0, 0.10999999999999999, 0.23603101270255605, 0.006227067992506464
0.35000000000000003, 0.0, 0.15285714285714283, 0.2912521795916187, 0.008540213407130489
0.35000000000000003, 0.05, 0.13714285714285715, 0.2105901824127676, 0.007906418996893393
0.35000000000000003, 0.1, 0.13285714285714284, 0.20531240463498981, 0.007725963629293541
0.35000000000000003, 0.15000000000000002, 0.13857142857142857, 0.2360663728889581, 0.007962998913238652
0.35000000000000003, 0.2, 0.14, 0.24014800554201934, 0.008022644883510243
0.35000000000000003, 0.25, 0.14142857142857143, 0.2496718150658289, 0.008082292959859782
0.35000000000000003, 0.30000000000000004, 0.14, 0.24014800554201934, 0.008022644883510243
0.35000000000000003, 0.35000000000000003, 0.12142857142857143, 0.25183732246729135, 0.006958444397986265
0.35000000000000003, 0.4, 0.12857142857142856, 0.2620591231385303, 0.007334857195940194
0.35000000000000003, 0.45, 0.1242857142857143, 0.25047003806629903, 0.007131171010161035
0.35000000000000003, 0.5, 0.11857142857142858, 0.2305403117898235, 0.006833287470393939
0.35000000000000003, 0.55, 0.11428571428571428, 0.227116738536355, 0.006565457421418383
0.35000000000000003, 0.6000000000000001, 0.11, 0.21864453658100694, 0.006359081242452574
0.35000000000000003, 0.65, 0.10714285714285714, 0.2239098005813439, 0.006108030414363528
0.35000000000000003, 0.7000000000000001, 0.10857142857142857, 0.22399825701654957, 0.006234821892930246
0.35000000000000003, 0.75, 0.10857142857142857, 0.22399825701654957, 0.006234821892930246
0.35000000000000003, 0.8, 0.10857142857142855, 0.2265072031787465, 0.006167419916156926
0.35000000000000003, 0.8500000000000001, 0.10714285714285714, 0.2239098005813439, 0.0061079024382797
0.35000000000000003, 0.9, 0.11142857142857142, 0.23920561587715922, 0.006287345267973613
0.35000000000000003, 0.9500000000000001, 0.10999999999999999, 0.23603101270255605, 0.006227067992506464
0.35000000000000003, 1.0, 0.10999999999999999, 0.23603101270255605, 0.006227067992506464
0.4, 0.0, 0.15285714285714283, 0.2912521795916187, 0.008540338193901095
0.4, 0.05, 0.13714285714285715, 0.2105901824127676, 0.007906418996893393
0.4, 0.1, 0.13285714285714284, 0.20531240463498981, 0.007725963629293541
0.4, 0.15000000000000002, 0.13857142857142857, 0.2360663728889581, 0.007962998913238652
0.4, 0.2, 0.14, 0.24014800554201934, 0.008022644883510243
0.4, 0.25, 0.14142857142857143, 0.2496718150658289, 0.008082685936396718
0.4, 0.30000000000000004, 0.14, 0.24014800554201934, 0.008022644883510243
0.4, 0.35000000000000003, 0.12142857142857143, 0.25183732246729135, 0.006958444397986265
0.4, 0.4, 0.12857142857142856, 0.2620591231385303, 0.007334857195940194
0.4, 0.45, 0.1242857142857143, 0.25047003806629903, 0.007131171010161035
0.4, 0.5, 0.11857142857142858, 0.2305403117898235, 0.006833287470393939
0.4, 0.55, 0.11428571428571428, 0.227116738536355, 0.006565457421418383
0.4, 0.6000000000000001, 0.11, 0.21864453658100694, 0.006359081242452574
0.4, 0.65, 0.10714285714285714, 0.2239098005813439, 0.0061079024382797
0.4, 0.7000000000000001, 0.10857142857142857, 0.22399825701654957, 0.006234821892930246
0.4, 0.75, 0.10857142857142857, 0.22399825701654957, 0.006234821892930246
0.4, 0.8, 0.10857142857142855, 0.2265072031787465, 0.006167544182982655
0.4, 0.8500000000000001, 0.10714285714285714, 0.2239098005813439, 0.0061079024382797
0.4, 0.9, 0.11142857142857142, 0.23920561587715922, 0.006287345267973613
0.4, 0.9500000000000001, 0.10999999999999999, 0.23603101270255605, 0.006227067992506464
0.4, 1.0, 0.10999999999999999, 0.23603101270255605, 0.006227192779277069
0.45, 0.0, 0.15285714285714283, 0.2912521795916187, 0.008540592506138513
0.45, 0.05, 0.13857142857142857, 0.21773303955562476, 0.007966191860013535
0.45, 0.1, 0.13285714285714284, 0.20531240463498981, 0.007725963629293541
0.45, 0.15000000000000002, 0.13857142857142857, 0.2360663728889581, 0.007962998913238652
0.45, 0.2, 0.14, 0.24014800554201934, 0.008022644883510243
0.45, 0.25, 0.14142857142857143, 0.2496718150658289, 0.008082292959859782
0.45, 0.30000000000000004, 0.14, 0.24014800554201934, 0.00802289975571095
0.45, 0.35000000000000003, 0.12142857142857143, 0.25183732246729135, 0.006958444397986265
0.45, 0.4, 0.12857142857142856, 0.2620591231385303, 0.007334857195940194
0.45, 0.45, 0.1242857142857143, 0.25047003806629903, 0.0071315501091690605
0.45, 0.5, 0.12000000000000001, 0.23070082543348325, 0.006918080821696725
0.45, 0.55, 0.11428571428571428, 0.227116738536355, 0.006565457421418383
0.45, 0.6000000000000001, 0.11, 0.21864453658100694, 0.006359081242452574
0.45, 0.65, 0.10714285714285714, 0.2239098005813439, 0.0061079024382797
0.45, 0.7000000000000001, 0.10857142857142857, 0.22399825701654957, 0.0062350890329690625
0.45, 0.75, 0.10857142857142857, 0.22399825701654957, 0.006234821892930246
0.45, 0.8, 0.10857142857142855, 0.2265072031787465, 0.006167419916156926
0.45, 0.8500000000000001, 0.10714285714285714, 0.2239098005813439, 0.0061079024382797
0.45, 0.9, 0.11142857142857142, 0.23920561587715922, 0.006287471634309621
0.45, 0.9500000000000001, 0.10999999999999999, 0.23603101270255605, 0.006227067992506464
0.45, 1.0, 0.10999999999999999, 0.23603101270255605, 0.006227067992506464
0.5, 0.0, 0.15285714285714283, 0.2912521795916187, 0.008540213407130489
0.5, 0.05, 0.14, 0.2272568490794343, 0.008025839936363074
0.5, 0.1, 0.13285714285714284, 0.20531240463498981, 0.007725963629293541
0.5, 0.15000000000000002, 0.13857142857142857, 0.2360663728889581, 0.007962998913238652
0.5, 0.2, 0.14, 0.24014800554201934, 0.008022644883510243
0.5, 0.25, 0.14142857142857143, 0.2496718150658289, 0.008082292959859782
0.5, 0.30000000000000004, 0.1385714285714286, 0.2399874918983596, 0.007948439762865495
0.5, 0.35000000000000003, 0.12142857142857143, 0.25183732246729135, 0.006958444397986265
0.5, 0.4, 0.12857142857142856, 0.2620591231385303, 0.007334857195940194
0.5, 0.45, 0.1242857142857143, 0.25047003806629903, 0.007131171010161035
0.5, 0.5, 0.12000000000000001, 0.23070082543348325, 0.006918080821696725
0.5, 0.55, 0.11428571428571428, 0.227116738536355, 0.006565457421418383
0.5, 0.6000000000000001, 0.11, 0.21864453658100694, 0.006359081242452574
0.5, 0.65, 0.10714285714285714, 0.2239098005813439, 0.0061079024382797
0.5, 0.7000000000000001, 0.10857142857142857, 0.22399825701654957, 0.006234821892930246
